,code,source
0,第一章 山边小村,https://www.xbiquge.so/book/6729/4420799.html
1,第二章 青牛镇,https://www.xbiquge.so/book/6729/4420800.html
2,第三章 七玄门,https://www.xbiquge.so/book/6729/4420801.html
3,第四章 炼骨崖,https://www.xbiquge.so/book/6729/4420802.html
4,第五章 墨大夫,https://www.xbiquge.so/book/6729/4420803.html
5,第六章 无名口诀,https://www.xbiquge.so/book/6729/4420804.html
6,第七章 修炼难,https://www.xbiquge.so/book/6729/4420805.html
7,第八章 入门弟子,https://www.xbiquge.so/book/6729/4420806.html
8,第九章 象甲功,https://www.xbiquge.so/book/6729/4420807.html
9,第十章 神秘瓶子,https://www.xbiquge.so/book/6729/4420808.html
10,第十一章 瓶难开,https://www.xbiquge.so/book/6729/4420809.html
11,第十二章 砸瓶子,https://www.xbiquge.so/book/6729/4420810.html
12,第十三章 异象起,https://www.xbiquge.so/book/6729/4420811.html
13,第十四章 神秘液,https://www.xbiquge.so/book/6729/4420812.html
14,第十五章 四年后,https://www.xbiquge.so/book/6729/4420813.html
15,第十六章 小算盘,https://www.xbiquge.so/book/6729/4420814.html
16,第十七章 厉师兄（1）,https://www.xbiquge.so/book/6729/4420815.html
17,第十八章 厉师兄（2）,https://www.xbiquge.so/book/6729/4420816.html
18,第十九章 江湖斗,https://www.xbiquge.so/book/6729/4420817.html
19,第二十章 抽髓丸,https://www.xbiquge.so/book/6729/4420818.html
20,第二十一章 止痛药,https://www.xbiquge.so/book/6729/4420819.html
21,第二十二章 心魔生,https://www.xbiquge.so/book/6729/4420820.html
22,第二十三章 试药兔,https://www.xbiquge.so/book/6729/4420821.html
23,第二十四章 惊魂定,https://www.xbiquge.so/book/6729/4420822.html
24,第二十五章 插柳成,https://www.xbiquge.so/book/6729/4420823.html
25,第二十六章 催药生,https://www.xbiquge.so/book/6729/4420824.html
26,第二十七章 配灵药,https://www.xbiquge.so/book/6729/4420825.html
27,第二十八章 墨回谷,https://www.xbiquge.so/book/6729/4420826.html
28,第二十九章 冲突起,https://www.xbiquge.so/book/6729/4420827.html
29,第三十章 枭雄末路,https://www.xbiquge.so/book/6729/4420828.html
30,第三十一章 尸虫丸,https://www.xbiquge.so/book/6729/4420829.html
31,第三十二章 豪气生,https://www.xbiquge.so/book/6729/4420830.html
